Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700_img137,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 64 recto"
urn:cite:bnf:gr2700img.bnf2700_img138,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 64 verso"
urn:cite:bnf:gr2700img.bnf2700_img139,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 65 recto"
urn:cite:bnf:gr2700img.bnf2700_img140,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 65 verso"
urn:cite:bnf:gr2700img.bnf2700_img141,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 66 recto"
urn:cite:bnf:gr2700img.bnf2700_img142,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 66 verso"
urn:cite:bnf:gr2700img.bnf2700_img143,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 67 recto"
urn:cite:bnf:gr2700img.bnf2700_img144,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 67 verso"
urn:cite:bnf:gr2700img.bnf2700_img145,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 68 recto"
urn:cite:bnf:gr2700img.bnf2700_img146,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 68 verso"
urn:cite:bnf:gr2700img.bnf2700_img147,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 69 recto"
