Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700-page129,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 60 recto"
urn:cite:bnf:gr2700img.bnf2700-page130,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 60 verso"
urn:cite:bnf:gr2700img.bnf2700-page131,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 61 recto"
urn:cite:bnf:gr2700img.bnf2700-page132,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 61 verso"
urn:cite:bnf:gr2700img.bnf2700-page133,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 62 recto"
urn:cite:bnf:gr2700img.bnf2700-page134,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 62 verso"
urn:cite:bnf:gr2700img.bnf2700-page135,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 63 recto"
urn:cite:bnf:gr2700img.bnf2700-page136,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 63 verso"
urn:cite:bnf:gr2700img.bnf2700-page137,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 64 recto"
urn:cite:bnf:gr2700img.bnf2700-page138,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 64 verso"
urn:cite:bnf:gr2700img.bnf2700-page139,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 65 recto"
urn:cite:bnf:gr2700img.bnf2700-page140,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 65 verso"
urn:cite:bnf:gr2700img.bnf2700-page141,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 66 recto"
urn:cite:bnf:gr2700img.bnf2700-page142,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 66 verso"
urn:cite:bnf:gr2700img.bnf2700-page143,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 67 recto"
urn:cite:bnf:gr2700img.bnf2700-page144,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 67 verso"
urn:cite:bnf:gr2700img.bnf2700-page145,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 68 recto"
urn:cite:bnf:gr2700img.bnf2700-page146,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 68 verso"
urn:cite:bnf:gr2700img.bnf2700-page147,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 69 recto"
